,Airport: Name,lat,long
0,DETROIT METRO WAYNE COUNTY ARPT,42.2161722,-83.3553842
1,DANE COUNTY REGIONAL ARPT-TRUAX FLD,43.1390659,-89.33641279999999
2,HOGUE ARPT,35.6337237,-85.38951039999999
3,SACRAMENTO INTL,38.6950854,-121.5900648
4,GUARULHOS INTL,-23.4305731,-46.473043
5,HENDERSON FIELD,34.719326,-78.0041732
6,SAN FRANCISCO INTL ARPT,37.6213129,-122.3789554
7,CLEVELAND-HOPKINS INTL ARPT,41.4057985,-81.8538669
8,UNKNOWN,35.2205194,-80.8575444
9,ORLANDO INTL,28.4311577,-81.308083
10,NEW ORLEANS INTL,29.9910905,-90.2592299
11,SAVANNAH INTL,32.0860225,-81.0877046
12,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,39.0532746,-84.6630165
13,FORT LAUDERDALE EXECUTIVE ARPT,26.200554,-80.1714843
14,JOHN F KENNEDY INTL,40.6413111,-73.77813909999999
15,BARKSDALE AIR FORCE BASE ARPT,32.5018595,-93.6571416
16,PHILADELPHIA INTL,39.8743959,-75.2424229
17,COTE D AZUR,43.2547731,6.637857700000001
18,LOS ANGELES INTL,33.9415889,-118.40853
19,TAMPA INTL,27.9771524,-82.5311382
20,MONTGOMERY FIELD ARPT,32.8126658,-117.1415913
21,MEACHAM FT WORTH,32.8206921,-97.3598387
22,WESTOVER ARB/METRO ARPT,42.19910640000001,-72.5438059
23,ONTARIO INTL ARPT,34.0559781,-117.598057
24,FORT LAUDERDALE/HOLLYWOOD INTL,26.0725432,-80.1565396
25,KAHULUI ARPT,20.8967924,-156.4329379
26,EPPLEY AIRFIELD,41.3018733,-95.8937409
27,MINISTRO PISTARINI,-34.8150044,-58.53482839999999
28,DENVER INTL AIRPORT,39.8560963,-104.6737376
29,COLORADO SPRINGS MUNICIPAL,38.8354278,-104.820308
30,HUNTSVILLE INTL,34.6403329,-86.77568989999999
31,BOISE AIR TERMINAL/GOWEN FIELD,43.5658231,-116.2223159
32,SOUTHWEST FLORIDA INTL ARPT,26.5337051,-81.7553083
33,NORFOLK INTL,36.8956837,-76.2000161
34,SAN DIEGO INTL,32.7338006,-117.1933038
35,TWEED-NEW HAVEN ARPT,41.2678919,-72.8868727
36,BOWERMAN ARPT,46.9738502,-123.9273757
37,WASHINGTON DULLES INTL ARPT,38.9531162,-77.45653879999999
38,CHARLESTON AFB/INTL ARPT,32.8930041,-80.0508134
39,BALTIMORE WASH INTL,39.1774042,-76.6683922
40,FOUR CORNERS REGIONAL,36.961587,-109.3487494
